"Name","Descripition","Sector","Products and Services","Market Cap","Managing Director"
"Apple Inc.","Designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories","Technology","iPhones, iPads, Mac computers, Apple Watch, Services","2700000000000","Timothy D. Cook"
"Microsoft Corporation","Develops, licenses, and supports software, services, devices, and solutions","Technology","Windows operating system, Office productivity suite, Azure cloud services, LinkedIn","2500000000000","Satya Nadella"
"Amazon.com Inc.","An online retailer and cloud computing service provider","Consumer Discretionary","E-commerce platform, AWS cloud services, Prime membership","1500000000000","Andy Jassy"
"Google LLC","Provides internet-related services and products","Technology","Search engine, YouTube, Android operating system, Google Cloud","1700000000000","Sundar Pichai"
"Tesla Inc.","Designs, manufactures, and sells electric vehicles and energy storage systems","Consumer Discretionary","Electric cars, Solar panels, Energy storage","800000000000","Elon Musk"
"Johnson & Johnson","Manufactures and sells pharmaceuticals, medical devices, and consumer packaged goods","Health Care","Pharmaceuticals, Medical devices, Consumer products","400000000000","Joanne C. Cockerill"
"Procter & Gamble Co.","Manufactures and markets consumer packaged goods","Consumer Staples","Detergents, soaps, cosmetics, baby products","250000000000","David A. Taylor"
"Exxon Mobil Corporation","Explores, produces, and markets petroleum and natural gas","Energy","Oil exploration, refining, petrochemicals","450000000000","Darren Woods"
"Chevron Corporation","Explores, produces, and markets petroleum and natural gas","Energy","Oil exploration, refining, petrochemicals","280000000000","Michael W. Wirth"
"JPMorgan Chase & Co.","Provides financial services including commercial banking, investment banking, and asset management","Financials","Commercial banking, Investment banking, Asset management","420000000000","Jamie Dimon"
"Bank of America Corporation","Provides banking and financial services","Financials","Commercial banking, Investment banking, Credit cards","380000000000","Brian Moynihan"
"Visa Inc.","Provides payment processing and transaction services","Financials","Payment processing, Credit card services, Digital payments","500000000000","Alfred F. Kelly"
"Walmart Inc.","Operates a chain of hypermarkets, discount department stores, and grocery stores","Consumer Discretionary","Retail stores, Grocery products, Online shopping","400000000000","Doug McMillon"
"Home Depot Inc.","Sells home improvement products and services","Consumer Discretionary","Home improvement products, Tools, Building materials","200000000000","Craig Herkert"
"Coca-Cola Company","Manufactures and sells beverages","Consumer Staples","Soft drinks, juices, water","240000000000","James M. Quincey"
"PepsiCo Inc.","Manufactures and sells beverages and food products","Consumer Staples","Soft drinks, snacks, bottled water","230000000000","Ramon Laguarta"
"Intel Corporation","Designs and manufactures semiconductor chips and related products","Technology","Processors, Memory chips, Graphics chips","180000000000","Pat Gelsinger"
"Adobe Inc.","Provides cloud-based software services and solutions","Technology","Creative software, Document management, Analytics","150000000000","Shantanu Narayen"
"Salesforce.com Inc.","Provides customer relationship management software and cloud-based services","Technology","CRM software, Analytics, Collaboration tools","120000000000","Marc Benioff"
"NVIDIA Corporation","Designs and manufactures graphics processing units and artificial intelligence chips","Technology","Graphics cards, AI processors, Data center solutions","900000000000","Jensen Huang"
"Meta Platforms Inc.","Develops social media platforms and virtual reality products","Technology","Facebook, Instagram, WhatsApp, Oculus VR","800000000000","Mark Zuckerberg"
"Netflix Inc.","Provides streaming media entertainment services","Communication Services","Streaming movies, TV shows, original content","150000000000","Reed Hastings"
"Disney Company","Creates and distributes entertainment content and experiences","Consumer Discretionary","Movies, TV shows, theme parks, streaming services","200000000000","Bob Iger"
"IBM Corporation","Provides consulting, software, and cloud computing services","Technology","Software solutions, IT consulting, Cloud services","120000000000","Arvind Krishna"
"General Electric Company","Manufactures and sells industrial equipment and services","Industrials","Aviation engines, power generation, healthcare equipment","80000000000","Larry Culp"
"Verizon Communications Inc.","Provides telecommunications services","Communication Services","Wireless services, fiber internet, business solutions","200000000000","Alan K. Morrison"
"AT&T Inc.","Provides telecommunications services","Communication Services","Wireless services, fiber internet, business solutions","180000000000","John J. Legere"
"Qualcomm Inc.","Designs and manufactures semiconductor products for wireless communications","Technology","Mobile processors, wireless chipsets, licensing","150000000000","Cristiano A. Amon"
"Cisco Systems Inc.","Provides networking equipment and software solutions","Technology","Networking equipment, software, security solutions","200000000000","Chuck Robbins"
"Oracle Corporation","Provides database software and cloud services","Technology","Database software, cloud computing, enterprise applications","250000000000","Safra Catz"
"Accenture plc","Provides professional services and consulting","Technology","IT consulting, digital transformation, business strategy","120000000000","Julie Sweet"
"Salesforce.com Inc.","Provides customer relationship management software and cloud-based services","Technology","CRM software, Analytics, Collaboration tools","120000000000","Marc Benioff"
"Adobe Inc.","Provides cloud-based software services and solutions","Technology","Creative software, Document management, Analytics","150000000000","Shantanu Narayen"
"NVIDIA Corporation","Designs and manufactures graphics processing units and artificial intelligence chips","Technology","Graphics cards, AI processors, Data center solutions","900000000000","Jensen Huang"
"Texas Instruments Inc.","Designs and manufactures semiconductor products","Technology","Analog chips, embedded processors, power management","180000000000","R. Thomas Joyce"
"Intel Corporation","Designs and manufactures semiconductor chips and related products","Technology","Processors, Memory chips, Graphics chips","180000000000","Pat Gelsinger"
"Pfizer Inc.","Develops and manufactures pharmaceutical products","Health Care","Vaccines, prescription drugs, biotechnology","150000000000","Albert Bourla"
"Johnson & Johnson","Manufactures and sells pharmaceuticals, medical devices, and consumer packaged goods","Health Care","Pharmaceuticals, Medical devices, Consumer products","400000000000","Joanne C. Cockerill"
"UnitedHealth Group Inc.","Provides health insurance and healthcare services","Health Care","Health insurance, healthcare services, pharmacy benefits","450000000000","Robert W. Ford"
"American Express Company","Provides financial services including credit cards and travel services","Financials","Credit cards, travel services, payment processing","150000000000","Stephen J. Squeri"
"Honeywell International Inc.","Manufactures and sells aerospace and building technologies","Industrials","Aerospace systems, building technologies, security systems","100000000000","Darius Adamczyk"
